Rk.,SNo,Unnamed: 2,Name,FED,Rtg,Club/City,TB1,TB2,TB3
1,2,NM,"Anigstein, Eugenio",,2165,General Rodríguez,7.0,0,31.5
2,3,NM,"Ferrara, Enzo",,2104,Tigre,6.0,0,30.5
3,11,,"Bastanzo, Nazareno Gabriel",,1677,Campana,5.0,0,32.0
4,1,NM,"Amato, Leonel",,2184,Tigre,5.0,0,30.0
5,5,,"Gomez Padula, Emanuel Franco",,2013,Mercedes,5.0,0,28.5
6,15,,"Amarilla, Abril Antonella",ARG,1633,,5.0,0,27.5
7,4,NM,"Basso, Leonardo",ARG,2067,,5.0,0,27.0
8,39,,"Quiroga, Maximiliano Exequiel",,0,Mercedes,5.0,0,25.0
9,6,,"Molina Salazar, Facundo",,1930,Escobar,5.0,0,24.5
10,16,,"Stutz, Leon",,1584,Tigre,4.5,0,34.5
11,8,,"Shon, Mariano",,1798,Campana,4.5,0,27.5
12,26,,"Gioscio Iribarne, Jorge Gabriel",,0,Mercedes,4.0,0,32.0
13,33,,"Martínez Albanesi, Julián",,0,Lobos,4.0,0,30.0
14,28,,"Gonzalez, Nazareno",,0,Escobar,4.0,0,29.0
15,31,,"Maidana, Thiago",,0,Carmen De Areco,4.0,0,28.5
16,12,,"Fernandez Rivero, Juan Rodrigo",,1660,General Rodríguez,4.0,0,27.0
17,35,,"Olivera Sacchi, Guadalupe",,0,General Rodríguez,4.0,0,26.5
18,10,,"Cantale, Osvaldo",ARG,1712,,4.0,0,26.0
19,38,,"Pineda, Thiago",,0,Escobar,4.0,0,25.5
20,44,,"Umpierre, Enzo",,0,Lobos,4.0,0,25.0
21,22,,"Coppari, Emiliano",,0,Lobos,4.0,0,24.0
22,7,,"Opatril, Guillermo",,1849,Ingeniero Maschwitz,4.0,0,20.0
23,43,,"Toledo, Jonathan",,0,San Antonio De Areco,3.5,0,26.5
24,14,,"Montaldo, Iván",,1644,Luján,3.5,0,25.0
25,13,,"Campusano, Claudio",,1650,Tigre,3.5,0,23.5
26,45,,"Veloso, Jose Ricardo",,0,Luján,3.5,0,23.5
27,21,,"Cisnero, María Luana",,0,Tigre,3.5,0,23.5
28,34,,"Ocampo, Máximo",,0,Tigre,3.0,0,26.0
29,29,,"Guerrero, Julio Fabián",,0,General Las Heras,3.0,0,25.5
30,18,,"Baliani, Juan Pablo",ARG,0,,3.0,0,25.5
31,25,,"Galarza, Facundo",,0,Tigre,3.0,0,24.0
32,20,,"Bastanzo, Jorge Raúl",,0,Campana,3.0,0,23.0
33,47,,"Villar, Javier",,0,Campana,3.0,0,21.0
34,46,,"Verón, Kevin",,0,Marcos Paz,3.0,0,21.0
35,30,,"Lanzos, Ernesto",,0,Tigre,3.0,0,20.5
36,9,,"Bianchi, David",ARG,1737,,3.0,0,19.5
37,41,,"Suarez, Alejandro",,0,Tigre,2.5,0,23.5
38,40,,"Restuccia, Renzo Uziel",,0,General Rodríguez,2.5,0,18.5
39,48,,"Villasrreo, Esteban Sebastián",,0,General Las Heras,2.5,0,16.5
40,23,,"Curbelo, Jorge",,0,Luján,2.0,0,23.5
41,17,,"Galeano Solís, Mayte",,1465,Tigre,2.0,0,22.0
42,36,,"Pentray, Oscar",,0,Lobos,2.0,0,20.0
43,42,,"Suarez, Noelia Irani",,0,General Rodríguez,2.0,0,18.0
44,24,,"Dellavedova, Victor",,0,,2.0,0,18.0
45,19,,"Barroso, Oscar Alberto",,0,General Rodríguez,1.5,0,24.0
46,27,,"Gonzalez, Benjamin",,0,General Rodríguez,1.5,0,19.0
47,37,,"Pineda, Leonardo Thomas",,0,Zárate,1.0,0,15.5
48,32,,"Manfredini Hipolito, Alan Fabricio",,0,General Rodríguez,0.0,0,18.0
