Rk.,SNo,Name,FED,Rtg,Club/City,TB1,TB2,TB3
1,18,"Ortiz Ramirez, Luciano Uriel",ARG,0,General Rodríguez,6.0,0,30.0
2,21,"Pou, Pedro",ARG,0,General Rodríguez,5.5,0,32.0
3,10,"Caballero, Miqueas",ARG,0,Tigre,5.5,0,27.5
4,23,"Roldán Ramos, Stanley",ARG,0,General Rodríguez,5.0,0,32.0
5,19,"Papandrea, Bautista",ARG,0,Tigre,5.0,0,31.0
6,1,"Buljubasich, Pedro",ARG,1638,Salto,5.0,0,26.0
7,26,"Silvero, Joaquín",ARG,0,Escobar,4.5,0,27.5
8,16,"Kratzer, Pilar",ARG,0,,4.0,0,30.5
9,2,"Accomo, Juan Martín",ARG,0,Suipacha,4.0,0,27.0
10,5,"Amarilla, Marco",ARG,0,General Rodríguez,4.0,0,24.0
11,3,"Almada, Juan Bautista",ARG,0,Escobar,4.0,0,22.5
12,11,"Fleitas, Facundo",ARG,0,Tigre,4.0,0,22.5
13,28,"Victor, Junior",ARG,0,Lobos,3.5,0,31.5
14,24,"Rossé, Mariano",ARG,0,Escobar,3.5,0,26.5
15,27,"Valdez, Brandon",ARG,0,Tigre,3.5,0,26.0
16,7,"Balzano, Lautaro",ARG,0,Escobar,3.5,0,24.0
17,9,"Bustos, Felipe",ARG,0,,3.5,0,23.5
18,6,"Amarilla, Maria",ARG,0,General Rodríguez,3.5,0,23.0
19,14,"Iampietro, Santiago",ARG,0,Cañuelas,3.0,0,26.0
20,4,"Altamirano, Victoria",ARG,0,Escobar,3.0,0,22.5
21,22,"Realini, Josué",ARG,0,Lobos,3.0,0,21.5
22,15,"Kowalczuk, Lorenzo",ARG,0,Tigre,3.0,0,20.5
23,8,"Britez Luna, Tomas Valentin",ARG,0,Tigre,3.0,0,18.0
24,29,"Winkler, Alfonsina",ARG,0,Lobos,2.5,0,21.5
25,25,"Sanchez, Facundo",ARG,0,,2.5,0,16.5
26,17,"Mejía, Astor",ARG,0,Marcos Paz,2.0,0,21.0
27,13,"Gonzalez, Bautista",ARG,0,Escobar,2.0,0,19.5
28,20,"Pentray, Itzel",ARG,0,Lobos,2.0,0,18.5
29,12,"Garcia, Carlos Cristian gabriel",ARG,0,Mercedes,1.5,0,16.5
