Rk.,SNo,Name,FED,Rtg,Club/City,TB1,TB2,TB3
1,1,"Frias Perez, Mateo",ARG,1657,,7.0,0.0,32.0
2,2,"Córdoba, Bautista",ARG,1509,General Rodríguez,5.5,0.0,32.0
3,4,"Amarilla, Eros benjamin",ARG,0,General Rodríguez,5.0,0.0,33.0
4,30,"Villar, Rodrigo",ARG,0,Campana,5.0,0.0,27.5
5,9,"Cruz, Benjamin",ARG,0,Presidente Derqui,5.0,0.0,27.5
6,16,"González, Felipe Edgardo",ARG,0,Escobar,5.0,0.0,27.5
7,29,"Vargas, Alejandro",ARG,0,Escobar,4.5,0.0,34.5
8,27,"Salleres, Kiara",ARG,0,Escobar,4.0,0.0,29.0
9,8,"Comparin, Donato Valentino",ARG,0,Cañuelas,4.0,0.0,28.5
10,25,"Pesantes, Thiago",ARG,0,Marcos Paz,4.0,0.0,27.5
11,14,"Gomez, Camilo Agustín",ARG,0,Suipacha,4.0,0.0,24.0
12,6,"Biló, Bautista",ARG,0,Lobos,4.0,0.0,24.0
13,3,"Acosta, Iván Agustín",ARG,0,Marcos Paz,4.0,0.0,22.5
14,7,"Carrizo, Joaquín",ARG,0,Tigre,3.5,0.5,22.5
15,22,"Muratorio, Matias",ARG,0,Suipacha,3.5,0.5,16.5
16,20,"Merialdo, Amador",ARG,0,Suipacha,3.0,0.0,26.0
17,17,"Lezcano Portillo, Luan",ARG,0,Tigre,3.0,0.0,24.5
18,15,"Gomez, Maitén",ARG,0,Escobar,3.0,0.0,24.0
19,10,"Dyriv, Daniel",ARG,0,Tigre,3.0,0.0,24.0
20,19,"Martínez, Iñaki",ARG,0,Lobos,3.0,0.0,20.5
21,23,"Nuñez Montegutti, Valentina",ARG,0,Tigre,3.0,0.0,20.5
22,12,"Ferrari, Carlos",ARG,0,Cañuelas,3.0,0.0,19.5
23,31,"Villasrreo, Micaela",ARG,0,General Las Heras,2.5,0.0,16.5
24,28,"Silvetti cifulella, Francesca",ARG,0,Jauregui,2.0,1.0,22.0
25,5,"Amarilla, Thiago",ARG,0,General Rodríguez,2.0,0.0,20.5
26,18,"Mamani, Rodrigo",ARG,0,Lobos,1.5,0.0,22.0
27,21,"Montenegro, Mateo",ARG,0,Suipacha,1.5,0.0,21.0
28,24,"Parra	, Florencia",ARG,0,Tigre,1.5,0.0,20.5
29,13,"Fornari, Federico",ARG,0,Lobos,0.0,0.0,17.5
30,11,"Fenaro, Mateo",ARG,0,,0.0,0.0,16.5
31,26,"Quiroz, Bautista",ARG,0,,0.0,0.0,16.5
