Rk.,SNo,Unnamed: 2,Name,FED,Rtg,Club/City,TB1,TB2,TB3
1,2,NM,"Moldovan	, Adrian",,2179,Tigre,6.5,0,30.5
2,1,NM,"Amato, Leonel",,2184,Tigre,6.0,0,29.0
3,9,,"Polero, Nahuel",,1750,General Rodríguez,5.5,1,34.5
4,4,NM,"Basso	, Leonardo",,2067,Tigre,5.5,0,31.0
5,3,NM,"Anigstein, Eugenio",,2164,General Rodríguez,5.0,0,33.0
6,18,,"Capellini, Esteban",,0,Marcos Paz,5.0,0,30.5
7,5,,"Molina Salazar, Facundo",ARG,1868,,5.0,0,28.5
8,50,,"Umpierre, Enzo",,0,Lobos,5.0,0,28.5
9,35,,"Ledesma, Pedro",,0,General Rodríguez,5.0,0,28.0
10,45,,"Rojas, Ismael",,0,Luján,4.5,0,29.5
11,8,,"Berterreigts	, Thiago",,1789,Tigre,4.5,0,29.5
12,7,,"Shon, Mariano",,1798,Campana,4.5,0,27.5
13,14,,"Stutz	, Leon",,1586,Tigre,4.5,0,27.5
14,11,,"Amarilla, Abril",,1620,General Rodríguez,4.5,0,27.5
15,36,,"Martínez Albanessi, Julián",,0,Lobos,4.5,0,21.5
16,40,,"Pineda, Thiago",,0,Escobar,4.0,0,29.0
17,41,,"Pousa, Federico",,0,Escobar,4.0,0,29.0
18,6,,"Morales, Pedro Jorge",,1809,Escobar,4.0,0,28.0
19,37,,"Olivera Sacchi, Guadalupe",,0,General Rodríguez,4.0,0,27.0
20,20,,"Cisnero	, María Luana",,0,Tigre,4.0,0,27.0
21,49,,"Suarez	, Alejandro",,0,Tigre,4.0,0,27.0
22,16,,"Aquino, Junior",,0,General Rodríguez,4.0,0,25.5
23,51,,"Verón, Kevin",,0,Marcos Paz,4.0,0,25.0
24,34,,"Ledesma, Guillermo",,0,General Rodríguez,4.0,0,23.5
25,42,,"Ravelli, Lautaro",,0,Campana,4.0,0,23.5
26,52,,"Villar, Javier",,0,Campana,4.0,0,23.5
27,10,,"Easdale	, Alan",,1629,Tigre,3.5,0,29.5
28,47,,"Rojas, Sara",,0,Luján,3.5,0,23.0
29,30,,"Gonzalez, Nazareno",,0,Escobar,3.5,0,20.0
30,31,,"Guerrero, Julio Fabián",,0,General Las Heras,3.0,0,25.0
31,43,,"Restuccia, Renzo Uziel",,0,General Rodríguez,3.0,0,23.0
32,21,,"Coppari, Emiliano",,0,Lobos,3.0,0,23.0
33,13,,"Ramirez	, Melanie",,1596,Tigre,3.0,0,22.5
34,25,,"Ernst, Marcelo",,0,Escobar,3.0,0,22.0
35,27,,"Fontanet, Leonel Alejandro",,0,San Pedro,3.0,0,22.0
36,24,,"Díaz, Jorge Roberto",,0,Marcos Paz,3.0,0,21.5
37,53,,"Villasrreo, Esteban Sebastián",,0,General Las Heras,3.0,0,21.5
38,17,,"Barroso, Oscar Alberto",,0,General Rodríguez,3.0,0,21.5
39,22,,"Corindo, Lautaro",,0,Marcos Paz,3.0,0,19.5
40,23,,"Della Vedova, Victor",,0,General Rodríguez,3.0,0,18.0
41,15,,"Acuña	, Alejandro",,0,Tigre,3.0,0,17.0
42,33,,"Lafalce, Damian",,0,Campana,2.5,0,26.0
43,19,,"Chávez Arias	, Alexis Benjamín",,0,Tigre,2.5,0,21.5
44,12,,"Carugatti Trotti, Genaro Constantino",,1616,Pinamar,2.0,0,24.5
45,44,,"Reynoso, Joaquín",,0,Zárate,2.0,0,20.5
46,46,,"Rojas, Samuel José",,0,Luján,2.0,0,19.0
47,38,,"Pentray, Oscar",,0,Lobos,2.0,0,18.5
48,29,,"Galante	, Alejandro",,0,Tigre,2.0,0,18.5
49,39,,"Pereyra, Samir",,0,Baradero,2.0,0,16.0
50,26,,"Ferzolla, Tobias",,0,Lobos,1.0,0,24.0
51,32,,"Hidalgo	, Ingrid",,0,Tigre,1.0,0,19.5
52,48,,"Suarez, Noelia Irani",,0,General Rodríguez,1.0,0,18.5
53,28,,"Fuentes, Federico Daniel",,0,General Rodríguez,0.0,0,18.0
